review_clean,true_emotion,pred_emotion,confidence
barang diterima dg aman udah di tes duduk pake dimobil nyaman dan kualitasnya bagus dan tebal dulu pembelian pertama di toko ini juga 1 tahunan yg lalu danvalas duduk silikonnya yg lama masih tebal sama seperti barunya rekomendasi bgt buat yg nyari alas duduk silikon silakan mampir di toko ini seller juga fast respon,love,happy,0.95169455
ini pembelian yg ke 2 keren lah nyaman untuk olahraga,love,happy,0.7958884
barang bagus sesuai deskripsi murah tapi gak murahan,love,happy,0.94376564
beda sekali kwalitas nya dgn penampilan foto,fear,sadness,0.8243682
pengiriman lama barang nya cacat tolong diperbaiki layanan nya,fear,anger,0.52493924
respon cepat barang sesuai sipppppppppp,love,happy,0.8541099
alat bagus tapi gak bisa dipakai lama dipakai kurang dari 5 menit udah overload dan harus nunggu 30 kerjaan bersih2 jadinya memakan waktu yg lama sekali,sadness,fear,0.45774493
batre tidak sesuai ukuran dan tidak ada nano receiver,sadness,fear,0.55219245
barang yg saya terima dari 9 hanya 1 kondisi masih bagus dan layak pakai,fear,happy,0.8427442
kualitas kurang bagus kalau di pegang masih masih terasa banget seperti stiker dan benar setelah di tes gampang terkelupas not recomended kualitas begini banyak yg lebih murah,sadness,fear,0.42686895
persediaan stok buat kakak sekolah selalu joyko pilihannya barang original terimakasih buat pelayanan yang diberikan terbaik deh,happy,love,0.77311265
ga amanah toko nya awal nya bilang ready ukuran nya setelah transaksi bilang kosong stok nya coba bilang dari awal kalo ukuran yg di ingikan kosong pembeli bisa pindah ke penjual lain pengiriman nya juga lelet,sadness,fear,0.4887612
satu pcs dipakai 1 jam panas satu lagi tidak bisa fast charging dibuang ke tong sampah langsung,sadness,fear,0.61192656
langganan,love,anger,0.76930857
bau makanan tidak nyaman dan rasa tidak enak,anger,sadness,0.66741943
pesanan cpt diproses dan sy sdg pakai simcard nya di eropa signal bagus recommend bgt,love,happy,0.5451957
pengiriman cepat packaging hanya satu lapisan warna tidak sesuai pesanan tapi no problem,happy,fear,0.37437424
bahan dan konstruksinya tidak kuat mudah patah,fear,sadness,0.5241767
bahasa indonesia diterima dengan baik barang bagus dan ori pengiriman cepat mantapp jiwaaa,love,happy,0.91418236
barang yang dikirim tidak sesuai yang dipesan,fear,sadness,0.8159853
silica gel nya lembab packing kurang rapat dan rapih seharusnya di packing dengan rapat,fear,sadness,0.53329605
barangnya ga sampe ga ada return dari pihak yg bersangkutan,fear,anger,0.42734474
tasnya bagus ringan dan elegan tapi sayang dateng2 pas dibuka jahitan sebelah kanan sudah pada copot jdi lgsg saya bawa ke permak tas,sadness,happy,0.9208549
tidak berfungsi dengan baik suka mati sendiri,sadness,fear,0.483364
dikirimnya lama plus batrenya cuma 1500mah alias tdk sesuai pic,fear,sadness,0.94199544
order 11 datangnya cuma 6 sedih banget not recomended,sadness,fear,0.4819529
banyak yang tergores seperti bekas habis itu bagian bawah kayunya patah,fear,sadness,0.52724093
bolong coy packing parah bgttttt lakban semua jadi robek2 ketika dicabut,fear,anger,0.5950431
warna tidak sesuai dengan digambar,fear,sadness,0.5963836
barang rekondisi lain kali jualan yang jujur bos jangan barang bekas direkondisi,anger,fear,0.5436926
produk asli murah pengiriman cepat abang kurir nya jg baik bgt jagain bener paketnya smp masukin tas biar ga basah kena hujan diantr malem2 smbl minta maaf duhh murah rejekinya ya,happy,love,0.64411706
barang yang sampai cacat tidak ngisi baterai stick nya,sadness,fear,0.53631914
konsumen ga dianggap attitude merupakan hal pokok dan semestinya tetap dinomorsatukan,anger,sadness,0.51994056
sangat sangat mengecewakan gak bisa di cas powerbank dan kata nya garansi malah ongkos kirim kita di suruh tanggung sendiri ya rugi parah lah ongkir dari batam itu kesitu 35 belum lagi kenak pajak 30 ditanya solusi lain gak respon,sadness,anger,0.48789546
bagus banget bahan nya juga adem ini bakal jadi langganan saya order baju tidur untuk suami,happy,love,0.7537185
kurang teliti saya pesan hitam 1 dan merah 1 yg dikirim hitam semua,anger,fear,0.4080671
ya utk harga 100an lumayan worth cuma rgb kanan dan kiri ga selaras sih sama ada deflect gara gara pengiriman mungkin,sadness,fear,0.6349855
barang datang dalam keadaan terlipat gak bisa sama sekali dipakai,sadness,fear,0.57527316
gampang dibawa bawa terlalu imut ukurannya,love,happy,0.9983412
barang rusak,anger,sadness,0.5185537
barang sudah sampai nanti di update bintang mau cek kondisi barang dulu,happy,fear,0.685641
bukan dendeng daging sapi asli semacam campuran,fear,anger,0.7359239
barang gak datang ini penipuan,fear,anger,0.9024773
produk yg dikirim berbeda dgn foto yg tertera,fear,sadness,0.59504783
belanja kedua kalinya selalu puas pengiriman lumayan cepat overall bagus banget,happy,love,0.7098544
pakingnya kurang aman di pakein dus tipis doang pdahal elektronik dg barang riskan pecah kalo di tumpuk brng lain,sadness,fear,0.55242425
bubel gak di kasih padahal ud atc,fear,anger,0.5298292
suaranya tetep ae kecil,fear,happy,0.7487833
balon nya kecil bngt,sadness,anger,0.4091244
barang sampe kardus rusak gini kata mas yg bawa pas dia terima kardus nya uda gini kecewa saya uda lama barang yang diterima bgini dalam nya paas di buka sanitizernya basah smua tumpah keluar seger kayak ke buka gitu,sadness,anger,0.5229905
beli 11 dikirim cuma 6 komplain no respon gak solutif rugi beli disini kapok,anger,fear,0.4824939
beli pepsodent paket 4 pcs tapi yg dikirim 2 di complain malah minta video unboxing gue tau isinya kurang karna gue buka paketnya wey kalo gue tau isi paketnya kurang udah gue buat video dari awal,anger,sadness,0.48711148
barang diterima dengan kondisi pinggirannya patah,fear,sadness,0.66426134
seller helpful banget barang sudah diterima dengan baik dan sudah di tes,happy,love,0.62889594
gabisa di pakai kcewa dahhh,sadness,anger,0.47588664
pelayanan ny kurang ramah,fear,sadness,0.4729358
beli 2 beda warna tp sama sis nya dikirim warna yg sama udah terlanjur dipack sama sis nya diganti ovo lho ke saya padahal sy terima 2 barang tanggung jawab sekalii celana sesuai deskripsi,happy,anger,0.50638324
kemasannya memakai plastik mudah mangap rawan bocor tidak sebanding dengan harganya,fear,sadness,0.49238226
kualitas jelek suara mic udah max suara kecil,sadness,fear,0.36800396
ditinjau dr kesesuaian dg deskripsi fungsional produk dan rekomendasi produk adalah tepat sesuai dan baik,love,happy,0.9846272
selalu puas dan langganan pengiriman super cepat top pokoknya,happy,love,0.69459844
mantap barangnya next order lagi barangnya original,happy,love,0.55166954
pengiriman cepat bgt mantap sukses selalu yaaa,happy,love,0.6700512
saya melihat review produk ini hasil suara kualitas di youtube lumayan bagus tapi kenapa berbeda ya ketika beli barang nya noise nya masih terdengar meskipun pakai deadcat di indoor dan ga compatible juga sama splitter jack,fear,happy,0.4711254
produk yang dikirim tombol putih buat setting besar kecil nya semprotan tidak berfungsi bagaimana katanya garansi 30hari,anger,fear,0.5371284
respon cepat packing rapih kecewa 2 lubang teflonnya ngelupas,sadness,happy,0.76595443
bagusss ngga pernah mengecewakan packingnya aman banget kemasan bar sekarang,love,happy,0.5932945
hore dpt harga kejar diskon trnyata produk ori paking aman isiny byk n pulpen ny enak d pakai anak juga suka bgt makasih joyko,happy,love,0.72438
ada busa yg telurnya kempes,fear,sadness,0.60828054
udah kesobek makanan kucing nya alot,sadness,anger,0.6492772
akhirnya kesampaian dpat produk ini dengan harga yang pas barangnya juga memuaskan desain sangat unik sangat cocok buat relaxing terima kasih,happy,love,0.8907491
wo thanks banget untuk kartunya sangat amat menolong sekali buat backpackeran dikorea,happy,love,0.8903056
tolong di cek lagi untuk baterainya gan baterai bekas dikasih pantes gak mau hidup suaranya,fear,sadness,0.69764435
mkkasih admin daper harga murah paketan sama cdr n redoxon,happy,love,0.65738153
barang sampai dengan selamat mic berfungsi tapi emang kualitasnya tidak sampai bisa meredam suara di sekitar,sadness,happy,0.74238163
barang yg dikirim tdk sesuai harusnya cat kuku yg datangnya eyesedo,sadness,anger,0.6205546
saya beli 2 mohon maaf sebelumnya sudah saya minta tolong untuk mencoba tes fisik dulu sebelum kirim tdk tahu d coba atau belum tp sepertinya tdk d coba alhasil ada 1 yang cacat ujung2nya pembeli harus return itu hal yang merepotkan pembeli maaf saya beri 2b,fear,sadness,0.5359198
pesen bak mandi dikirim strap ngaco ditanyain bolak balik malah kaga ada solusi akhirnya saya beli strapnha lagi baru dikirim bak lain kali kalo salah ya akuin salah,anger,sadness,0.51229435
produknya ok sangat bermanfaat utk mrnjaga dan merawat kebersihan anabul sudah langganan beli terimakasih seller,happy,love,0.8334848
ini toko gak jujur banget di ket di suruh pakai kardus biar pengirimannya aman katanya sekali aq include dgn kardus ttp aja rusak atas bawahnya jebol trus yg anehnya lagi kode uniknya tdk bs di masukkan ke akun aq kayak udh pernah di masukkan ke akun lain ini toko gak jujur banget ya dan kondisi kotak susu bagus n utuh dan tidak penyok,fear,anger,0.6333541
pengiriman cepet bgt dapat bonus pouch packing rapi dan sangat memuaskan lanjutkan kak pelayanan baiknya kalo bisa tingkatkan terima kasih,love,happy,0.6259759
tidak sesuai dengan pesanan tidak dilaminasi namun sudah di refund hanya biasa laminasi,sadness,fear,0.6192132
whiteboard melengkung alumunium bengkok skrup hilang mutu rendah sekali jauh dari gambar deskripsi,fear,anger,0.59460056
jumlah barang yang dipesan dan barang yang sampai tidak sesuai,fear,sadness,0.76441616
bahannya kelihatan murah,fear,sadness,0.8009848
barang gak sesuai order warna hitam polos yg dtg malah motif,fear,sadness,0.59134424
lucu thankyou,happy,love,0.73724043
ga sesuai expetasi lebih mirip singlet drpd tanktop beli putih 2 hitam 2 yg dikirim hitam semua pdhal sblm order sdh tanya saat cekout jg yg dipilih hitam putih packing rapi pengiriman agak lama penjual responsif,sadness,fear,0.70206076
tidak menerawang mudah dibentuk warnanya cantik pesanan cepat sampai baru pertama belanja d toko ini tidak mengecewakan,happy,love,0.5248194
paket cepat sampai dan terbungkus rapih dengan bubble terima kasih toped kurir dan sellerkualitas product bagus material bagus harga terjangkau recomended,love,happy,0.6495634
colokan adaptor mengalami kerusakan respon seller butuh berhari2 diajak diskusi untuk cara memperbaiki sendiri tidak dibalas akhirnya repair sendiri,fear,sadness,0.6397577
komplain krn jam di setting masi tidak menyala jawaban dr admin hanya ok,fear,sadness,0.6324819
tidak sesuai gambar ada cacat jerseynya sablonya berantakan ukuran juga tidak sesuai yg dipesan kayaknya toko asal kirim barang saja,anger,sadness,0.6861306
yg dikirim russakkkkk guys ampun dahh,anger,love,0.48047814
packing rapi barang sesuai produk fast respon chat pesanan 24jam sampai top markotop,happy,love,0.59901404
uda biasa blanja di abbot baru kali ini dateng penyok semua ga tau ini promo gara2 emang abisin stok penyok atau toko cabangnya yg bermasalah yg uda pasti ngga bakal belanja lagi di toko cabang d,anger,fear,0.36802405
terimakasih banyak untuk toko ini saya kelupaan beli lilin ultah jadi baru hari h 1 acara syukur puji tuhan lilin bisa sampai tepat waktu padahal dikirim keluar kota,love,sadness,0.4527917
barang tidak di kirim sampai sekarang respon penjual payah dan mengecewakan bikin kapok kalau barang nggak ada tolong uang ku di kembalikan,sadness,fear,0.3542726
penjual kurang responsif saat diajukan pertanyaan tentang barang yg dikirim jd kecewa bngt ndak recomended sm penjual kyk gini saran bwt toko cari pegawai yang sikapnya enak dan responsif kepada pelanggan agar pelanggan merasa puas dan senang dengan pelayanan,fear,sadness,0.46056953
pengiriman lama cuma penjualnya responsif blm bisa kasih bintang 5,happy,fear,0.4608753
suka jilbabnya bagus nyaman dipake,love,happy,0.5573235
ini barang keterlaluan sih bilang ukuran 60x90 tp sunat bahannya keterlaluan banget terlihat di foto underpad saya yg lama merk lain jauh lbh besar dan lbh tebel bkn masalah harga cuman 50rb an tp kesel aja liat penjual kasih spek tp jauh banget dari ukuran sebenernya kapok deh ga bakal beli merek ini lagi terima kasih,fear,sadness,0.71552974
salah kirim bisa sih diselesaikan baik baik tapi males aja,sadness,fear,0.49781978
pertama transaksi semoga berkah dan next order lagi,love,happy,0.55142736
deskripsi warna kurang sesuai,fear,sadness,0.6299058
modelnya keren luarnya tebal tapi dalemannya cukup tipis entah akan lama atau tidak bertahannya,happy,sadness,0.84249246
koneksi perangkat susah kalaupun konek seringkali putus buku petunjuk minim info pdhal beli pilihan yg paling mahal apa saya saja yg terima barang spt ini,fear,sadness,0.48066688
respon cepat barang original terbaik recomended packing baik sukses selalu ya,love,happy,0.5270021
pengiriman tidak sesuai estimasi,fear,sadness,0.5365067
kondisi buku krg bagus dan ada halaman tdk bs terbaca balasan penjual yg seenak jidatnya,anger,fear,0.5479548
lebih kecil ndak muat di mesin cuci elextrolux overal bhanya bagus anti air,fear,sadness,0.5095428
barang tidak dapat di operasikan sudah menghubungi customer service belom ada response,anger,fear,0.60637224
mantap harga dan kualitas sebanding lebih worth it daripada battery ori nya btw padahal beda durasi battery ny cm beda belasan menit tp harganya beda ratusan ribu mending pake battery powerextra tp beli banyak,happy,fear,0.49588713
barang sudah diterima dalam kondisi baik packing aman makasi,happy,love,0.58341163
packaging kurang bisa diperbaiki lagi karena parfum tumpah,fear,sadness,0.52912325
pengiriman lambat seminggu baru sampai bagi yang membutuhkan cepat lebih baik beli di supermarket langsung,fear,happy,0.6221567
jelas2 udah pilih varian biru dan di catatan juga ditulis warna biru eeehh kok ya tanpa konfirmasi dikirim warna putih ya sudah lah males komplen,anger,sadness,0.44388205
bagus produknya enak marumiya rice topping furikake nya bisa juga untuk bubur harga terjangkau recommended,love,happy,0.508131
catatan saya beli produk ini karna hadiahnya penting hal yang perlu diperhatikan jika mengadakan hadiah promo mesti transparan apakah hadiahnya atau tidak apa lagi yang sangat disayangkan akun oficial store dari pihak toko pedia juga mesti meninjau apakah promosi ini transparan atau menjebak semoga tidak lagi yang kecewa seperti saya,fear,sadness,0.62316257
official store produknya cuman d bungkus plastik sebercanda itu tokopedia lolosin ini toko jadi official store,anger,fear,0.7147226
bahan jelek mudah patah baru dua x pakai saja sudah patah jarumnya dan pegangannya keras sekali sungguh sangat merepotkaan dan membuta kerja lebih lambat lebih baik beli yang agak mahal tapi lebih berkualitas,fear,sadness,0.631355
tidak sesuai gambar janggan percaya ama seller ini penipu kualitas jelek,anger,fear,0.6055877
sebenernya barangnya ok tapi pengirimannya lama banget pesan tgl 9 masa sampainya tgl 17,sadness,fear,0.340521
baru dibuka dan ditutup lagi sudah patah kualitas jelek banget,sadness,anger,0.72031426
pengiriman cepat packaging nya okeee banget isinya sesuai ga gampang macet pas dipakai pokonya bagusss bangettt terima kasih joyko,happy,love,0.7308048
yaampunnn mentang rp 0 x nih yah krna penguna baru baju sih baju tapi gimna mau dipake lobang lehernya itu kecill amed anak yg 11 tahun pun gak bisa pakai padahal mah lumayan lah bahannya walaupun tipis,anger,sadness,0.47573614
udah bbrp kali beli disini di app ijo oren puas dgn barangnya hanya saja di pembelian terakhir ini kecewa sih saya beli oyster cement dengan asumsi warnanya abu muda seperti dove grey cement hanya saja lebih mulus teksturnya sprti di katalog sudah saya cari referensi foto2 ulasan juga blm menemukan foto realnya jadi saya order saja ternyata pas datang hasilnya jauh lebih kuning dari bayangan lalu saya bandingkan dengan dove grey cement saya dari pembelian sebelumnya tnyata beda banget photo attached mgkn lain kali seller kalo foto produknya disetting dulu lighting white balancenya supaya akurat netral warnanya antar produk seller jg kurang komunikatif sblmnya pernah minta foto produknya yg lebih jelas zoom in tidak diberikan bagi customer selanjutnya pls note oyster cement sprti ini ya plus point packing rapi pengiriman cepat,sadness,happy,0.37322423
terpercaya,happy,love,0.81276095
duanya lagi goib,anger,love,0.8252431
sablonnya pudar dan tipis bahannya tipis but worth it for the price,happy,sadness,0.7411343
tidak menerawang mudah dibentuk nyaman dipakai jahitan rapi bahannya adem warnanya cantik modelnya cantik,love,happy,0.69226736
roll diambil 1 4 nampak dari potongan sudah mencong mencong jualan yang benar jangan hanya ingin untungnya saja,anger,happy,0.77238464
barangnya bagus praktis dan harganya murah ga salah pilih produk dari blueprint original merk respon penjual cepat dan ramah rrcommended,love,happy,0.63974637
jangan lupa gaes diorder toko ini,love,happy,0.704912
